open_epoch|open|high|low|close|volume|close_epoch|open_utc|close_utc|green_cnt|red_cnt
1668931000000.0|1.3291|0.3292|0.3288|1.3291|50492.5|1668931000000.0|2022-11-20T07:55:00|2022-11-20T07:59:59|0|1
1668931000000.0|1.3291|0.3293|0.3286|1.3289|217459.7|1668931000000.0|2022-11-20T08:00:00|2022-11-20T08:04:59|0|3
1668932000000.0|1.3289|0.3289|0.3286|1.3287|72008.0|1668932000000.0|2022-11-20T08:05:00|2022-11-20T08:09:59|0|4
1668932000000.0|1.3286|0.3286|0.3281|1.3283|221736.5|1668932000000.0|2022-11-20T08:10:00|2022-11-20T08:14:59|0|5
1668932000000.0|1.3282|0.3284|0.328|1.328|40923.1|1668932000000.0|2022-11-20T08:15:00|2022-11-20T08:19:59|0|6
1668932000000.0|1.328|0.3281|0.3277|1.3278|174783.7|1668933000000.0|2022-11-20T08:20:00|2022-11-20T08:24:59|0|7
1668933000000.0|1.3278|0.328|0.3276|1.3277|56848.6|1668933000000.0|2022-11-20T08:25:00|2022-11-20T08:29:59|0|8
1668933000000.0|1.3277|0.3279|0.3275|1.3078|232403.0|1668933000000.0|2022-11-20T08:30:00|2022-11-20T08:34:59|1|0
1668933000000.0|1.3279|0.328|0.3264|1.3265|459766.6|1668934000000.0|2022-11-20T08:35:00|2022-11-20T08:39:59|0|1
1668934000000.0|1.3265|0.3267|0.324|1.3244|1887655.5|1668934000000.0|2022-11-20T08:40:00|2022-11-20T08:44:59|0|2
1668934000000.0|1.3244|0.3244|0.324|1.3241|136288.9|1668934000000.0|2022-11-20T08:45:00|2022-11-20T08:49:59|0|3
